
=== START 8-bit LEADING ONE POSITION DETECTOR TEST ===

[Fixed] data=00000000 => expect(pos=0, zero=1), dut(pos=0, zero=1) => PASS
[Fixed] data=00011101 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011110 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011111 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00100000 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100001 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100010 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100011 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100100 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100101 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100110 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00100111 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101000 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101001 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101010 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101011 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101100 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101101 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101110 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00101111 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110000 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110001 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110010 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110011 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110100 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110101 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110110 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00110111 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111000 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111001 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111010 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111011 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111100 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111101 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111110 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=00111111 => expect(pos=2, zero=0), dut(pos=2, zero=0) => PASS
[Fixed] data=01000000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01000111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01001111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01010111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01011111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01100111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01101111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01110111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111001 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111010 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111100 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111101 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111110 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=01111111 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Fixed] data=10000000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10000111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10001111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10010111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10011111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10100111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10101111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10110111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=10111111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11000111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11001111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11010111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11011111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11100111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11101111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11110111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111000 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111001 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111011 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111101 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Fixed] data=11111111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=11000100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=10011100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=00000010 => expect(pos=6, zero=0), dut(pos=6, zero=0) => PASS
[Random] data=11100100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=01111000 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS
[Random] data=10111100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=10110110 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=11100100 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=10110111 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS
[Random] data=01010011 => expect(pos=1, zero=0), dut(pos=1, zero=0) => PASS

================================
========== TEST SUMMARY ==========
Total test cases:    266
Passed          :    266
Failed          :      0
Pass rate       : 100.00%
================================

- /home/noname/Documents/project_tiny/Floating_point/Verision1/03_verif/SubModule/LOPD_UNIT/LOPD_8BIT/tb_LOPD_8bit.sv:105: Verilog $finish
- S i m u l a t i o n   R e p o r t: Verilator 5.024 2024-04-05
- Verilator: $finish at 281ns; walltime 0.001 s; speed 0.000 s/s
- Verilator: cpu 0.000 s on 1 threads; alloced 57 MB
