
=== START 8-bit LEADING ONE POSITION DETECTOR TEST ===

[Zero] data=000000000000000000000000 => expect(pos=0, zero=1), dut(pos=0, zero=1) => PASS
[Random] data=110110101011001100000010 => expect(pos=0, zero=0), dut(pos=0, zero=0) => PASS

==================================
========== TEST SUMMARY ==========
Total test cases:    125
Passed          :    125
Failed          :      0
Pass rate       : 100.00%
==================================

- /home/noname/Documents/project_tiny/Floating_point/Verision1/03_verif/SubModule/LOPD_UNIT/LOPD_24BIT/tb_LOPD_24bit.sv:127: Verilog $finish
- S i m u l a t i o n   R e p o r t: Verilator 5.024 2024-04-05
- Verilator: $finish at 370ns; walltime 0.002 s; speed 0.000 s/s
- Verilator: cpu 0.000 s on 1 threads; alloced 57 MB
