============================================
>>> TEST SHIFT LEFT UNIT <<<
============================================
Test 0: PASS | data=7673c4 | shift=20 | out=400000
Test 93: PASS | data=100acb | shift=3 | out=805658
Test 94: PASS | data=b733e9 | shift=22 | out=400000
Test 95: PASS | data=047624 | shift=10 | out=d89000
Test 96: PASS | data=252c07 | shift=16 | out=070000
Test 97: PASS | data=d331d6 | shift=15 | out=eb0000
Test 98: PASS | data=207d39 | shift=17 | out=720000
Test 99: PASS | data=8684d7 | shift=18 | out=5c0000
Test 100: PASS | data=601a76 | shift=4 | out=01a760
Test 101: PASS | data=557042 | shift=6 | out=5c1080
Test 102: PASS | data=17e476 | shift=19 | out=b00000
Test 103: PASS | data=814127 | shift=2 | out=05049c
Test 104: PASS | data=bd1ea2 | shift=6 | out=47a880
Test 105: PASS | data=b80509 | shift=23 | out=800000
Test 106: PASS | data=4f51dc | shift=20 | out=c00000
Test 107: PASS | data=866559 | shift=9 | out=cab200
Test 108: PASS | data=466aac | shift=0 | out=466aac
Test 109: PASS | data=2345f7 | shift=10 | out=17dc00
Test 110: PASS | data=f7828d | shift=7 | out=c14680
Test 111: PASS | data=f2f889 | shift=8 | out=f88900
Test 112: PASS | data=2693ca | shift=22 | out=800000
Test 113: PASS | data=6470ab | shift=0 | out=6470ab
Test 114: PASS | data=8c694c | shift=23 | out=000000
Test 115: PASS | data=59ea5a | shift=4 | out=9ea5a0
Test 116: PASS | data=b7fc11 | shift=17 | out=220000
Test 117: PASS | data=f98d29 | shift=0 | out=f98d29
Test 118: PASS | data=fca314 | shift=9 | out=462800
Test 119: PASS | data=3f162a | shift=17 | out=540000
Test 120: PASS | data=46a48c | shift=22 | out=000000
Test 121: PASS | data=285d82 | shift=14 | out=608000
Test 122: PASS | data=ac746e | shift=17 | out=dc0000
Test 123: PASS | data=35c96e | shift=13 | out=2dc000
Test 124: PASS | data=b580b8 | shift=4 | out=580b80
Test 125: PASS | data=4d848d | shift=17 | out=1a0000
Test 126: PASS | data=d5dad6 | shift=6 | out=76b580
Test 127: PASS | data=523b65 | shift=2 | out=48ed94
Test 128: PASS | data=869c57 | shift=6 | out=a715c0
Test 129: PASS | data=94e664 | shift=1 | out=29ccc8
Test 130: PASS | data=dccfa9 | shift=16 | out=a90000
Test 131: PASS | data=73e743 | shift=18 | out=0c0000
Test 132: PASS | data=ea9bf6 | shift=15 | out=fb0000
Test 133: PASS | data=4f1dd7 | shift=18 | out=5c0000
Test 134: PASS | data=214153 | shift=6 | out=5054c0
Test 135: PASS | data=57210e | shift=4 | out=7210e0
Test 136: PASS | data=be76c9 | shift=8 | out=76c900
Test 137: PASS | data=e41849 | shift=19 | out=480000
Test 138: PASS | data=867c09 | shift=8 | out=7c0900
Test 139: PASS | data=70ee5b | shift=6 | out=3b96c0
Test 140: PASS | data=855610 | shift=18 | out=400000
Test 141: PASS | data=9b696d | shift=14 | out=5b4000
Test 142: PASS | data=e02c1b | shift=16 | out=1b0000
Test 143: PASS | data=84bddd | shift=11 | out=eee800
Test 144: PASS | data=550d7a | shift=23 | out=000000
Test 145: PASS | data=f2ee0a | shift=16 | out=0a0000
Test 146: PASS | data=66ee9c | shift=3 | out=3774e0
Test 147: PASS | data=bcf8b4 | shift=17 | out=680000
Test 148: PASS | data=3bc383 | shift=12 | out=383000
Test 149: PASS | data=5718e9 | shift=14 | out=3a4000
Test 150: PASS | data=a7b71f | shift=15 | out=8f8000
Test 151: PASS | data=059d65 | shift=20 | out=500000
Test 152: PASS | data=2ce2d8 | shift=13 | out=5b0000
Test 153: PASS | data=511968 | shift=1 | out=a232d0
Test 154: PASS | data=837b3c | shift=5 | out=6f6780
Test 155: PASS | data=3cff67 | shift=11 | out=fb3800
Test 156: PASS | data=7591bf | shift=1 | out=eb237e
Test 157: PASS | data=491b84 | shift=19 | out=200000
Test 158: PASS | data=6b0993 | shift=11 | out=4c9800
Test 159: PASS | data=cfaa1b | shift=7 | out=d50d80
Test 160: PASS | data=956ae8 | shift=17 | out=d00000
Test 161: PASS | data=cd636a | shift=1 | out=9ac6d4
Test 162: PASS | data=c7d09a | shift=6 | out=f42680
Test 163: PASS | data=d5e3f3 | shift=23 | out=800000
Test 164: PASS | data=7d2929 | shift=1 | out=fa5252
Test 165: PASS | data=ad2e80 | shift=14 | out=a00000
Test 166: PASS | data=330ea9 | shift=9 | out=1d5200
Test 167: PASS | data=984861 | shift=5 | out=090c20
Test 168: PASS | data=11e1e2 | shift=12 | out=1e2000
Test 169: PASS | data=17f686 | shift=14 | out=a18000
Test 170: PASS | data=00c0e7 | shift=17 | out=ce0000
Test 171: PASS | data=78709b | shift=20 | out=b00000
Test 172: PASS | data=cdfd7e | shift=0 | out=cdfd7e
Test 173: PASS | data=40f46d | shift=1 | out=81e8da
Test 174: PASS | data=97e584 | shift=8 | out=e58400
Test 175: PASS | data=80b537 | shift=17 | out=6e0000
Test 176: PASS | data=ecb90b | shift=15 | out=858000
Test 177: PASS | data=f73cd7 | shift=4 | out=73cd70
Test 178: PASS | data=feaf20 | shift=21 | out=000000
Test 179: PASS | data=8e7ac8 | shift=18 | out=200000
Test 180: PASS | data=72c8dc | shift=19 | out=e00000
Test 181: PASS | data=0942ba | shift=12 | out=2ba000
Test 182: PASS | data=588dc6 | shift=19 | out=300000
Test 183: PASS | data=acf514 | shift=6 | out=3d4500
Test 184: PASS | data=01e94e | shift=3 | out=0f4a70
Test 185: PASS | data=009449 | shift=14 | out=124000
Test 186: PASS | data=67722c | shift=17 | out=580000
Test 187: PASS | data=b94fc5 | shift=23 | out=800000
Test 188: PASS | data=f88e98 | shift=6 | out=23a600
Test 189: PASS | data=e2a696 | shift=4 | out=2a6960
Test 190: PASS | data=513e80 | shift=4 | out=13e800
Test 191: PASS | data=5d17fc | shift=9 | out=2ff800
Test 192: PASS | data=3e3f72 | shift=0 | out=3e3f72
Test 193: PASS | data=dab2b4 | shift=20 | out=400000
Test 194: PASS | data=b9b315 | shift=23 | out=800000
Test 195: PASS | data=d7a58d | shift=11 | out=2c6800
Test 196: PASS | data=d35074 | shift=20 | out=400000
Test 197: PASS | data=ff6585 | shift=6 | out=d96140
Test 198: PASS | data=f29bcb | shift=9 | out=379600
Test 199: PASS | data=426aea | shift=20 | out=a00000
Test 200: PASS | data=846dbb | shift=15 | out=dd8000
Test 201: PASS | data=334005 | shift=1 | out=66800a
Test 202: PASS | data=b30692 | shift=18 | out=480000
Test 203: PASS | data=457614 | shift=9 | out=ec2800
Test 204: PASS | data=f927e1 | shift=0 | out=f927e1
Test 205: PASS | data=c8a4dd | shift=18 | out=740000
Test 206: PASS | data=e2eabc | shift=23 | out=000000
Test 207: PASS | data=9a1edf | shift=18 | out=7c0000
Test 208: PASS | data=2913b2 | shift=20 | out=200000
Test 209: PASS | data=fc0f08 | shift=8 | out=0f0800
Test 210: PASS | data=6ea67d | shift=20 | out=d00000
Test 211: PASS | data=b226d1 | shift=20 | out=100000
Test 212: PASS | data=20ae4b | shift=15 | out=258000
Test 213: PASS | data=28c984 | shift=6 | out=326100
Test 214: PASS | data=9cf489 | shift=9 | out=e91200
Test 215: PASS | data=945aa9 | shift=8 | out=5aa900
Test 216: PASS | data=2d3207 | shift=22 | out=c00000
Test 217: PASS | data=1e635b | shift=20 | out=b00000
Test 218: PASS | data=6a0b4c | shift=15 | out=a60000
Test 219: PASS | data=7d21ac | shift=8 | out=21ac00
Test 220: PASS | data=988fad | shift=14 | out=eb4000
Test 221: PASS | data=4bf9cb | shift=8 | out=f9cb00
Test 222: PASS | data=a4200c | shift=6 | out=080300
Test 223: PASS | data=f113ab | shift=9 | out=275600
Test 224: PASS | data=82cd45 | shift=22 | out=400000
Test 225: PASS | data=8fbc84 | shift=2 | out=3ef210
Test 226: PASS | data=7ffdcd | shift=17 | out=9a0000
Test 227: PASS | data=1e63b3 | shift=15 | out=d98000
Test 228: PASS | data=ab1422 | shift=16 | out=220000
Test 229: PASS | data=d8cee6 | shift=2 | out=633b98
Test 230: PASS | data=d508fa | shift=14 | out=3e8000
Test 231: PASS | data=22eca7 | shift=6 | out=bb29c0
Test 232: PASS | data=5a9ed6 | shift=21 | out=c00000
Test 233: PASS | data=e647a3 | shift=21 | out=600000
Test 234: PASS | data=a4c65b | shift=9 | out=8cb600
Test 235: PASS | data=be9d9c | shift=9 | out=3b3800
Test 236: PASS | data=3ed578 | shift=22 | out=000000
Test 237: PASS | data=7b1259 | shift=21 | out=200000
Test 238: PASS | data=ed9f71 | shift=13 | out=ee2000
Test 239: PASS | data=75cbda | shift=22 | out=800000
Test 240: PASS | data=dbb777 | shift=16 | out=770000
Test 241: PASS | data=053937 | shift=0 | out=053937
Test 242: PASS | data=4c91cb | shift=12 | out=1cb000
Test 243: PASS | data=9e486c | shift=15 | out=360000
Test 244: PASS | data=1a178b | shift=12 | out=78b000
Test 245: PASS | data=3ed7a2 | shift=6 | out=b5e880
Test 246: PASS | data=e18ed9 | shift=22 | out=400000
Test 247: PASS | data=762337 | shift=19 | out=b80000
Test 248: PASS | data=6b6d7a | shift=12 | out=d7a000
Test 249: PASS | data=51bd55 | shift=4 | out=1bd550
Test 250: PASS | data=73075e | shift=17 | out=bc0000
Test 251: PASS | data=8b5eda | shift=1 | out=16bdb4
Test 252: PASS | data=cbdd63 | shift=6 | out=f758c0
Test 253: PASS | data=bac79b | shift=20 | out=b00000
Test 254: PASS | data=b164da | shift=18 | out=680000
Test 255: PASS | data=122b1f | shift=0 | out=122b1f
Test 256: PASS | data=9f7191 | shift=10 | out=c64400
Test 257: PASS | data=af9594 | shift=2 | out=be5650
Test 258: PASS | data=df8ec5 | shift=3 | out=fc7628
Test 259: PASS | data=2cfcec | shift=16 | out=ec0000
Test 260: PASS | data=961a1d | shift=9 | out=343a00
Test 261: PASS | data=7114a9 | shift=13 | out=952000
Test 262: PASS | data=1adc03 | shift=20 | out=300000
Test 263: PASS | data=1aaa08 | shift=16 | out=080000
Test 264: PASS | data=b4e25e | shift=10 | out=897800
Test 265: PASS | data=00e7f0 | shift=20 | out=000000
Test 266: PASS | data=ebcb27 | shift=11 | out=593800
Test 267: PASS | data=ad3215 | shift=16 | out=150000
Test 268: PASS | data=ce920e | shift=16 | out=0e0000
Test 269: PASS | data=cd35be | shift=17 | out=7c0000
Test 270: PASS | data=3ca2cd | shift=0 | out=3ca2cd
Test 271: PASS | data=adfe46 | shift=0 | out=adfe46
Test 272: PASS | data=63369a | shift=15 | out=4d0000
Test 273: PASS | data=c4b64a | shift=18 | out=280000
Test 274: PASS | data=c90fcd | shift=15 | out=e68000
Test 275: PASS | data=6176de | shift=2 | out=85db78
Test 276: PASS | data=e27199 | shift=0 | out=e27199
Test 277: PASS | data=1ddeff | shift=15 | out=7f8000
Test 278: PASS | data=32dcea | shift=14 | out=3a8000
Test 279: PASS | data=146e3c | shift=7 | out=371e00
Test 280: PASS | data=dd3050 | shift=2 | out=74c140
Test 281: PASS | data=b6ccff | shift=20 | out=f00000
Test 282: PASS | data=5b4028 | shift=10 | out=00a000
Test 283: PASS | data=52c1d8 | shift=22 | out=000000
Test 284: PASS | data=8e6a3c | shift=7 | out=351e00
Test 285: PASS | data=101d93 | shift=10 | out=764c00
Test 286: PASS | data=4f095c | shift=9 | out=12b800
Test 287: PASS | data=c4c6b5 | shift=19 | out=a80000
Test 288: PASS | data=4107cc | shift=8 | out=07cc00
Test 289: PASS | data=d747ce | shift=8 | out=47ce00
Test 290: PASS | data=b3685d | shift=21 | out=a00000
Test 291: PASS | data=f81f68 | shift=9 | out=3ed000
Test 292: PASS | data=56a268 | shift=0 | out=56a268
Test 293: PASS | data=9b7787 | shift=9 | out=ef0e00
Test 294: PASS | data=020521 | shift=14 | out=484000
Test 295: PASS | data=8b8a8e | shift=11 | out=547000
Test 296: PASS | data=5cd0d9 | shift=16 | out=d90000
Test 297: PASS | data=208022 | shift=7 | out=401100
Test 298: PASS | data=455fd2 | shift=18 | out=480000
Test 299: PASS | data=9b03de | shift=23 | out=000000
Test 300: PASS | data=96c917 | shift=19 | out=b80000
Test 301: PASS | data=fd5e9a | shift=21 | out=400000
Test 302: PASS | data=93c140 | shift=2 | out=4f0500
Test 303: PASS | data=9cc107 | shift=21 | out=e00000
Test 304: PASS | data=b66b3d | shift=17 | out=7a0000
Test 305: PASS | data=fd2f60 | shift=14 | out=d80000
Test 306: PASS | data=a35d03 | shift=22 | out=c00000
Test 307: PASS | data=0be340 | shift=14 | out=d00000
Test 308: PASS | data=356ddb | shift=5 | out=adbb60
Test 309: PASS | data=0ae43e | shift=0 | out=0ae43e
Test 310: PASS | data=020b7d | shift=5 | out=416fa0
Test 311: PASS | data=f761c6 | shift=14 | out=718000
Test 312: PASS | data=415f13 | shift=0 | out=415f13
Test 313: PASS | data=1e1c0e | shift=7 | out=0e0700
Test 314: PASS | data=6787ee | shift=3 | out=3c3f70
Test 315: PASS | data=e2b830 | shift=18 | out=c00000
Test 316: PASS | data=2a2947 | shift=11 | out=4a3800
Test 317: PASS | data=9aa4c6 | shift=9 | out=498c00
Test 318: PASS | data=637052 | shift=21 | out=400000
Test 319: PASS | data=00f157 | shift=1 | out=01e2ae
Test 320: PASS | data=8eb67f | shift=15 | out=3f8000
Test 321: PASS | data=67520b | shift=22 | out=c00000
Test 322: PASS | data=b25f3f | shift=20 | out=f00000
Test 323: PASS | data=8e952d | shift=3 | out=74a968
Test 324: PASS | data=287f12 | shift=0 | out=287f12
Test 325: PASS | data=1c8ca8 | shift=17 | out=500000
Test 326: PASS | data=0b4c2e | shift=4 | out=b4c2e0
Test 327: PASS | data=3ec3d7 | shift=22 | out=c00000
Test 328: PASS | data=3d3d9b | shift=13 | out=b36000
Test 329: PASS | data=85ddc2 | shift=14 | out=708000
Test 330: PASS | data=bd7539 | shift=17 | out=720000
Test 331: PASS | data=afc815 | shift=13 | out=02a000
Test 332: PASS | data=aea47a | shift=16 | out=7a0000
Test 333: PASS | data=f7d924 | shift=12 | out=924000
Test 334: PASS | data=fe027f | shift=13 | out=4fe000
Test 335: PASS | data=1bc21b | shift=19 | out=d80000
Test 336: PASS | data=ffeb32 | shift=20 | out=200000
Test 337: PASS | data=b0fc79 | shift=0 | out=b0fc79
Test 338: PASS | data=0cf3c0 | shift=4 | out=cf3c00
Test 339: PASS | data=c609ee | shift=11 | out=4f7000
Test 340: PASS | data=c8d7d9 | shift=3 | out=46bec8
Test 341: PASS | data=fe9e4b | shift=9 | out=3c9600
Test 342: PASS | data=1dd64f | shift=2 | out=77593c
Test 343: PASS | data=f15e57 | shift=16 | out=570000
Test 344: PASS | data=8aba05 | shift=21 | out=a00000
Test 345: PASS | data=1ef5b9 | shift=19 | out=c80000
Test 346: PASS | data=c9c0ce | shift=12 | out=0ce000
Test 347: PASS | data=87a843 | shift=7 | out=d42180
Test 348: PASS | data=7cafe4 | shift=1 | out=f95fc8
Test 349: PASS | data=ffe6fd | shift=11 | out=37e800
Test 350: PASS | data=49d6a3 | shift=15 | out=518000
Test 351: PASS | data=1474b0 | shift=3 | out=a3a580
Test 352: PASS | data=a5dedc | shift=5 | out=bbdb80
Test 353: PASS | data=985c7d | shift=2 | out=6171f4
Test 354: PASS | data=e4e05e | shift=18 | out=780000
Test 355: PASS | data=b03ca2 | shift=12 | out=ca2000
Test 356: PASS | data=9bb2ac | shift=5 | out=765580
Test 357: PASS | data=6dc55f | shift=1 | out=db8abe
Test 358: PASS | data=377955 | shift=2 | out=dde554
Test 359: PASS | data=d97b0b | shift=4 | out=97b0b0
Test 360: PASS | data=29815a | shift=15 | out=ad0000
Test 361: PASS | data=8eee7b | shift=6 | out=bb9ec0
Test 362: PASS | data=abdf2e | shift=19 | out=700000
Test 363: PASS | data=534654 | shift=14 | out=950000
Test 364: PASS | data=0c2f2a | shift=2 | out=30bca8
Test 365: PASS | data=2eb1bc | shift=23 | out=000000
Test 366: PASS | data=a391e0 | shift=15 | out=f00000
Test 367: PASS | data=7e545d | shift=22 | out=400000
Test 368: PASS | data=5501d8 | shift=23 | out=000000
Test 369: PASS | data=a8dfd1 | shift=10 | out=7f4400
Test 370: PASS | data=9fd4f8 | shift=9 | out=a9f000
Test 371: PASS | data=2a8999 | shift=0 | out=2a8999
Test 372: PASS | data=e86fcf | shift=20 | out=f00000
Test 373: PASS | data=79895e | shift=11 | out=4af000
Test 374: PASS | data=6e1a3a | shift=2 | out=b868e8
Test 375: PASS | data=732733 | shift=15 | out=998000
Test 376: PASS | data=93198d | shift=4 | out=3198d0
Test 377: PASS | data=f59c81 | shift=7 | out=ce4080
Test 378: PASS | data=7546e7 | shift=22 | out=c00000
Test 379: PASS | data=466d6c | shift=6 | out=9b5b00
Test 380: PASS | data=b17c82 | shift=13 | out=904000
Test 381: PASS | data=bf9e6b | shift=16 | out=6b0000
Test 382: PASS | data=2f0090 | shift=5 | out=e01200
Test 383: PASS | data=032e40 | shift=10 | out=b90000
Test 384: PASS | data=b7eeca | shift=20 | out=a00000
Test 385: PASS | data=bc38ae | shift=11 | out=c57000
Test 386: PASS | data=d0690d | shift=10 | out=a43400
Test 387: PASS | data=40b0ee | shift=16 | out=ee0000
Test 388: PASS | data=eb08bc | shift=9 | out=117800
Test 389: PASS | data=b7771f | shift=0 | out=b7771f
Test 390: PASS | data=19ba72 | shift=5 | out=374e40
Test 391: PASS | data=9f5fd8 | shift=14 | out=f60000
Test 392: PASS | data=53b9df | shift=0 | out=53b9df
Test 393: PASS | data=a586c7 | shift=9 | out=0d8e00
Test 394: PASS | data=b42d60 | shift=3 | out=a16b00
Test 395: PASS | data=96df5d | shift=8 | out=df5d00
Test 396: PASS | data=1f9c62 | shift=3 | out=fce310
Test 397: PASS | data=3d225c | shift=23 | out=000000
Test 398: PASS | data=8ecc6e | shift=11 | out=637000
Test 399: PASS | data=a6d350 | shift=20 | out=000000
Test 400: PASS | data=c04407 | shift=5 | out=0880e0
Test 401: PASS | data=8765b3 | shift=10 | out=96cc00
Test 402: PASS | data=7a8ea7 | shift=22 | out=c00000
Test 403: PASS | data=72a645 | shift=15 | out=228000
Test 404: PASS | data=fdbd0f | shift=17 | out=1e0000
Test 405: PASS | data=f143c9 | shift=12 | out=3c9000
Test 406: PASS | data=cdaaed | shift=17 | out=da0000
Test 407: PASS | data=4e19d5 | shift=3 | out=70cea8
Test 408: PASS | data=b52550 | shift=16 | out=500000
Test 409: PASS | data=39fa2c | shift=7 | out=fd1600
Test 410: PASS | data=167706 | shift=7 | out=3b8300
Test 411: PASS | data=56e4b1 | shift=23 | out=800000
Test 412: PASS | data=e5f57f | shift=19 | out=f80000
Test 413: PASS | data=15c5c0 | shift=8 | out=c5c000
Test 414: PASS | data=b8b3eb | shift=16 | out=eb0000
Test 415: PASS | data=113f7d | shift=4 | out=13f7d0
Test 416: PASS | data=a46a4e | shift=12 | out=a4e000
Test 417: PASS | data=10ae24 | shift=0 | out=10ae24
Test 418: PASS | data=98dfe6 | shift=22 | out=800000
Test 419: PASS | data=9be91f | shift=3 | out=df48f8
Test 420: PASS | data=93414f | shift=20 | out=f00000
Test 421: PASS | data=5ff39c | shift=21 | out=800000
Test 422: PASS | data=71fe87 | shift=16 | out=870000
Test 423: PASS | data=b0ecaa | shift=6 | out=3b2a80
Test 424: PASS | data=8beb5b | shift=4 | out=beb5b0
Test 425: PASS | data=91812c | shift=20 | out=c00000
Test 426: PASS | data=4bc5a5 | shift=18 | out=940000
Test 427: PASS | data=ab2612 | shift=12 | out=612000
Test 428: PASS | data=548604 | shift=17 | out=080000
Test 429: PASS | data=1af1f7 | shift=14 | out=7dc000
Test 430: PASS | data=faf30d | shift=20 | out=d00000
Test 431: PASS | data=5c874e | shift=2 | out=721d38
Test 432: PASS | data=93a4de | shift=20 | out=e00000
Test 433: PASS | data=fcb90f | shift=7 | out=5c8780
Test 434: PASS | data=0b5cee | shift=9 | out=b9dc00
Test 435: PASS | data=156a2e | shift=21 | out=c00000
Test 436: PASS | data=97b663 | shift=14 | out=98c000
Test 437: PASS | data=0aabeb | shift=18 | out=ac0000
Test 438: PASS | data=59dd23 | shift=12 | out=d23000
Test 439: PASS | data=17689f | shift=20 | out=f00000
Test 440: PASS | data=dbf23c | shift=6 | out=fc8f00
Test 441: PASS | data=4a7790 | shift=7 | out=3bc800
Test 442: PASS | data=26fd2d | shift=20 | out=d00000
Test 443: PASS | data=b3f703 | shift=3 | out=9fb818
Test 444: PASS | data=cbf886 | shift=12 | out=886000
Test 445: PASS | data=c52d94 | shift=3 | out=296ca0
Test 446: PASS | data=3e1f4b | shift=11 | out=fa5800
Test 447: PASS | data=02b5f7 | shift=22 | out=c00000
Test 448: PASS | data=3560c5 | shift=2 | out=d58314
Test 449: PASS | data=013d81 | shift=22 | out=400000
Test 450: PASS | data=60e758 | shift=18 | out=600000
Test 451: PASS | data=695ce6 | shift=9 | out=b9cc00
Test 452: PASS | data=233ee4 | shift=1 | out=467dc8
Test 453: PASS | data=7f740f | shift=12 | out=40f000
Test 454: PASS | data=7b3547 | shift=17 | out=8e0000
Test 455: PASS | data=24c94f | shift=5 | out=9929e0
Test 456: PASS | data=b4050b | shift=8 | out=050b00
Test 457: PASS | data=0ff9d8 | shift=0 | out=0ff9d8
Test 458: PASS | data=05b789 | shift=1 | out=0b6f12
Test 459: PASS | data=d40bf9 | shift=5 | out=817f20
Test 460: PASS | data=09d284 | shift=4 | out=9d2840
Test 461: PASS | data=c7d780 | shift=3 | out=3ebc00
Test 462: PASS | data=d562ca | shift=4 | out=562ca0
Test 463: PASS | data=15a8b8 | shift=5 | out=b51700
Test 464: PASS | data=2aa6f2 | shift=20 | out=200000
Test 465: PASS | data=c81844 | shift=9 | out=308800
Test 466: PASS | data=5f96af | shift=0 | out=5f96af
Test 467: PASS | data=d7a5e6 | shift=21 | out=c00000
Test 468: PASS | data=6cc0b7 | shift=0 | out=6cc0b7
Test 469: PASS | data=279ea5 | shift=6 | out=e7a940
Test 470: PASS | data=9d1ff5 | shift=20 | out=500000
Test 471: PASS | data=500e62 | shift=0 | out=500e62
Test 472: PASS | data=c1d219 | shift=0 | out=c1d219
Test 473: PASS | data=3ffef1 | shift=20 | out=100000
Test 474: PASS | data=a5de67 | shift=12 | out=e67000
Test 475: PASS | data=e06da4 | shift=14 | out=690000
Test 476: PASS | data=600919 | shift=6 | out=024640
Test 477: PASS | data=f5cc41 | shift=23 | out=800000
