============================================
>>> TEST SUM UNIT (28-bit) <<<
============================================
Test 0: PASS | A=97673c4 | B=b1e5d9c | Cin=0 | SUM=494d160 | Cout=1
Test 29: PASS | A=6589faf | B=0f9f5ef | Cin=1 | SUM=752959f | Cout=0
Test 30: PASS | A=4fe433f | B=b1ccecf | Cin=0 | SUM=01b120e | Cout=1
Test 31: PASS | A=914e377 | B=b949a9a | Cin=1 | SUM=4a97e12 | Cout=1
Test 32: PASS | A=48c1f53 | B=b7842af | Cin=0 | SUM=0046202 | Cout=1
Test 33: PASS | A=1dab302 | B=a972bfb | Cin=0 | SUM=c71defd | Cout=0
Test 34: PASS | A=00fd9c2 | B=e6dcddd | Cin=0 | SUM=e7da79f | Cout=0
Test 35: PASS | A=368d864 | B=976a661 | Cin=1 | SUM=cdf7ec6 | Cout=0
Test 36: PASS | A=5e9dd21 | B=0c027f3 | Cin=1 | SUM=6aa0515 | Cout=0
Test 37: PASS | A=26918f5 | B=c1016bd | Cin=0 | SUM=e792fb2 | Cout=0
Test 38: PASS | A=7aa2662 | B=5769fca | Cin=0 | SUM=d20c62c | Cout=0
Test 39: PASS | A=c90c745 | B=371e058 | Cin=0 | SUM=002a79d | Cout=1
Test 40: PASS | A=fcfde60 | B=db80373 | Cin=0 | SUM=d87e1d3 | Cout=1
Test 41: PASS | A=351c13d | B=5cfa46c | Cin=0 | SUM=92165a9 | Cout=0
Test 42: PASS | A=6539ae7 | B=03a5237 | Cin=1 | SUM=68ded1f | Cout=0
Test 43: PASS | A=dc79340 | B=7054833 | Cin=0 | SUM=4ccdb73 | Cout=1
Test 44: PASS | A=ac71ab6 | B=dc1e2d7 | Cin=0 | SUM=888fd8d | Cout=1
Test 45: PASS | A=c034a67 | B=d45f653 | Cin=0 | SUM=94940ba | Cout=1
Test 46: PASS | A=86de8f4 | B=eee86e4 | Cin=0 | SUM=75c6fd8 | Cout=1
Test 47: PASS | A=2fd4367 | B=d3fd895 | Cin=0 | SUM=03d1bfc | Cout=1
Test 48: PASS | A=4b91b64 | B=edc4195 | Cin=0 | SUM=3955cf9 | Cout=1
Test 49: PASS | A=1af473d | B=4c6707f | Cin=1 | SUM=675b7bd | Cout=0
Test 50: PASS | A=0eaa8dc | B=05acbec | Cin=0 | SUM=14574c8 | Cout=0
Test 51: PASS | A=91f0046 | B=916f079 | Cin=0 | SUM=235f0bf | Cout=1
Test 52: PASS | A=38048d4 | B=d02c934 | Cin=1 | SUM=0831209 | Cout=1
Test 53: PASS | A=7a25b1b | B=2dd1302 | Cin=1 | SUM=a7f6e1e | Cout=0
Test 54: PASS | A=e42ce53 | B=dd0b063 | Cin=0 | SUM=c137eb6 | Cout=1
Test 55: PASS | A=82928f0 | B=ee0b004 | Cin=1 | SUM=709d8f5 | Cout=1
Test 56: PASS | A=26194f8 | B=e88ac23 | Cin=0 | SUM=0ea411b | Cout=1
Test 57: PASS | A=a187961 | B=e53ff61 | Cin=1 | SUM=86c78c3 | Cout=1
Test 58: PASS | A=74c90d2 | B=7f06afc | Cin=0 | SUM=f3cfbce | Cout=0
Test 59: PASS | A=1d3b67b | B=2751b31 | Cin=0 | SUM=448d1ac | Cout=0
Test 60: PASS | A=f715aed | B=e69f964 | Cin=0 | SUM=ddb5451 | Cout=1
Test 61: PASS | A=ae955bd | B=65ac114 | Cin=1 | SUM=14416d2 | Cout=1
Test 62: PASS | A=5100acb | B=25a32db | Cin=1 | SUM=76a3da7 | Cout=0
Test 63: PASS | A=219054e | B=c047624 | Cin=0 | SUM=e1d7b72 | Cout=0
Test 64: PASS | A=e252c07 | B=80a7500 | Cin=0 | SUM=62fa107 | Cout=1
Test 65: PASS | A=b9ce53f | B=4207d39 | Cin=1 | SUM=fbd6279 | Cout=0
Test 66: PASS | A=a8684d7 | B=f37df7a | Cin=0 | SUM=9be6451 | Cout=1
Test 67: PASS | A=538f67c | B=1557042 | Cin=0 | SUM=68e66be | Cout=0
Test 68: PASS | A=f17e476 | B=b85762b | Cin=1 | SUM=a9d5aa2 | Cout=1
Test 69: PASS | A=43f75d2 | B=5bd1ea2 | Cin=0 | SUM=9fc9474 | Cout=0
Test 70: PASS | A=0b80509 | B=21a8a0f | Cin=0 | SUM=2d28f18 | Cout=0
Test 71: PASS | A=23152e4 | B=0866559 | Cin=1 | SUM=2b7b83e | Cout=0
Test 72: PASS | A=8466aac | B=20c9a80 | Cin=1 | SUM=a53052d | Cout=0
Test 73: PASS | A=34a90ea | B=6f7828d | Cin=1 | SUM=a421378 | Cout=0
Test 74: PASS | A=bf2f889 | B=f693f10 | Cin=0 | SUM=b5c3799 | Cout=1
Test 75: PASS | A=7e359c6 | B=d6470ab | Cin=0 | SUM=547ca71 | Cout=1
Test 76: PASS | A=c8c694c | B=bbdc9f7 | Cin=0 | SUM=84a3343 | Cout=1
Test 77: PASS | A=589c854 | B=ab7fc11 | Cin=1 | SUM=041c466 | Cout=1
Test 78: PASS | A=df98d29 | B=d507e10 | Cin=0 | SUM=b4a0b39 | Cout=1
Test 79: PASS | A=b1b7971 | B=23f162a | Cin=1 | SUM=d5a8f9c | Cout=0
Test 80: PASS | A=146a48c | B=64831e6 | Cin=0 | SUM=78ed672 | Cout=0
Test 81: PASS | A=deaf886 | B=6ac746e | Cin=1 | SUM=4976cf5 | Cout=1
Test 82: PASS | A=435c96e | B=369578d | Cin=0 | SUM=79f20fb | Cout=0
Test 83: PASS | A=5486054 | B=e4d848d | Cin=1 | SUM=395e4e2 | Cout=1
Test 84: PASS | A=3d5dad6 | B=9be5e6e | Cin=1 | SUM=d943945 | Cout=0
Test 85: PASS | A=17612b2 | B=a869c57 | Cin=0 | SUM=bfcaf09 | Cout=0
Test 86: PASS | A=c94e664 | B=506fc99 | Cin=1 | SUM=19be2fe | Cout=1
Test 87: PASS | A=0186540 | B=373e743 | Cin=0 | SUM=38c4c83 | Cout=0
Test 88: PASS | A=cea9bf6 | B=167c3e7 | Cin=1 | SUM=e525fde | Cout=0
Test 89: PASS | A=0e2bc22 | B=8214153 | Cin=0 | SUM=903fd75 | Cout=0
Test 90: PASS | A=957210e | B=ee11fe4 | Cin=1 | SUM=83840f3 | Cout=1
Test 91: PASS | A=b424c40 | B=3e41849 | Cin=1 | SUM=f26648a | Cout=0
Test 92: PASS | A=9867c09 | B=62540f8 | Cin=1 | SUM=fabbd02 | Cout=0
Test 93: PASS | A=0f3d996 | B=a855610 | Cin=0 | SUM=b792fa6 | Cout=0
Test 94: PASS | A=09b696d | B=cff90de | Cin=1 | SUM=d9afa4c | Cout=0
Test 95: PASS | A=48d6f80 | B=d84bddd | Cin=1 | SUM=2122d5e | Cout=1
Test 96: PASS | A=e550d7a | B=488f89f | Cin=0 | SUM=2de0619 | Cout=1
Test 97: PASS | A=81f4fb8 | B=d66ee9c | Cin=1 | SUM=5863e55 | Cout=1
Test 98: PASS | A=1bcf8b4 | B=779d049 | Cin=1 | SUM=936c8fe | Cout=0
Test 99: PASS | A=e3533dc | B=b5718e9 | Cin=0 | SUM=98c4cc5 | Cout=1
Test 100: PASS | A=1a7b71f | B=10dcb5f | Cin=1 | SUM=2b5827f | Cout=0
Test 101: PASS | A=855538c | B=a2ce2d8 | Cin=1 | SUM=2823665 | Cout=1
Test 102: PASS | A=9511968 | B=ae4c419 | Cin=0 | SUM=435dd81 | Cout=1
Test 103: PASS | A=c426cc5 | B=73cff67 | Cin=1 | SUM=37f6c2d | Cout=1
Test 104: PASS | A=87591bf | B=1931901 | Cin=0 | SUM=a08aac0 | Cout=0
Test 105: PASS | A=e503d43 | B=f6b0993 | Cin=1 | SUM=dbb46d7 | Cout=1
Test 106: PASS | A=ccfaa1b | B=eec4747 | Cin=0 | SUM=bbbf162 | Cout=1
Test 107: PASS | A=a2050a9 | B=6cd636a | Cin=1 | SUM=0edb414 | Cout=1
Test 108: PASS | A=ac7d09a | B=d08ba4e | Cin=1 | SUM=7d08ae9 | Cout=1
Test 109: PASS | A=6a91e2f | B=27d2929 | Cin=1 | SUM=9264759 | Cout=0
Test 110: PASS | A=bad2e80 | B=da3fa66 | Cin=1 | SUM=95128e7 | Cout=1
Test 111: PASS | A=df4b391 | B=e984861 | Cin=1 | SUM=c8cfbf3 | Cout=1
Test 112: PASS | A=511e1e2 | B=2748c04 | Cin=0 | SUM=7866de6 | Cout=0
Test 113: PASS | A=10374ce | B=200c0e7 | Cin=1 | SUM=30435b6 | Cout=0
Test 114: PASS | A=d78709b | B=a11824c | Cin=0 | SUM=789f2e7 | Cout=1
Test 115: PASS | A=da8da98 | B=b40f46d | Cin=1 | SUM=8e9cf06 | Cout=1
Test 116: PASS | A=c97e584 | B=698ae20 | Cin=1 | SUM=33093a5 | Cout=1
Test 117: PASS | A=6c099d1 | B=aecb90b | Cin=1 | SUM=1ad52dd | Cout=1
Test 118: PASS | A=3f73cd7 | B=9e4f6ac | Cin=0 | SUM=ddc3383 | Cout=0
Test 119: PASS | A=54bd34d | B=78e7ac8 | Cin=0 | SUM=cda4e15 | Cout=0
Test 120: PASS | A=272c8dc | B=f7b76ab | Cin=0 | SUM=1ee3f87 | Cout=1
Test 121: PASS | A=c9e33b4 | B=2588dc6 | Cin=1 | SUM=ef6c17b | Cout=0
Test 122: PASS | A=6acf514 | B=f2242de | Cin=0 | SUM=5cf37f2 | Cout=1
Test 123: PASS | A=962f2ab | B=4009449 | Cin=0 | SUM=d6386f4 | Cout=0
Test 124: PASS | A=167722c | B=c1a6991 | Cin=1 | SUM=d81dbbe | Cout=0
Test 125: PASS | A=d066f07 | B=af88e98 | Cin=0 | SUM=7fefd9f | Cout=1
Test 126: PASS | A=4e2a696 | B=1644324 | Cin=0 | SUM=646e9ba | Cout=0
Test 127: PASS | A=8d3c7ec | B=65d17fc | Cin=1 | SUM=f30dfe9 | Cout=0
Test 128: PASS | A=13e3f72 | B=57499c0 | Cin=0 | SUM=6b2d932 | Cout=0
Test 129: PASS | A=564d93c | B=6b9b315 | Cin=1 | SUM=c1e8c52 | Cout=0
Test 130: PASS | A=0d7a58d | B=6575ac3 | Cin=0 | SUM=72f0050 | Cout=0
Test 131: PASS | A=e4fa844 | B=1ff6585 | Cin=0 | SUM=04f0dc9 | Cout=1
Test 132: PASS | A=0f29bcb | B=b71db91 | Cin=0 | SUM=c64775c | Cout=0
Test 133: PASS | A=b4c9ca4 | B=a846dbb | Cin=1 | SUM=5d10a60 | Cout=1
Test 134: PASS | A=1334005 | B=a8b4c41 | Cin=0 | SUM=bbe8c46 | Cout=0
Test 135: PASS | A=3302cfa | B=0457614 | Cin=1 | SUM=375a30f | Cout=0
Test 136: PASS | A=0f927e1 | B=7123190 | Cin=1 | SUM=80b5972 | Cout=0
Test 137: PASS | A=cb80c5a | B=be2eabc | Cin=1 | SUM=89af717 | Cout=1
Test 138: PASS | A=29a1edf | B=46fbbc2 | Cin=0 | SUM=709daa1 | Cout=0
Test 139: PASS | A=2e252e4 | B=7fc0f08 | Cin=0 | SUM=ade61ec | Cout=0
Test 140: PASS | A=b6ea67d | B=2d19484 | Cin=1 | SUM=e403b02 | Cout=0
Test 141: PASS | A=7af3dac | B=820ae4b | Cin=1 | SUM=fcfebf8 | Cout=0
Test 142: PASS | A=b28c984 | B=c4734e6 | Cin=1 | SUM=76ffe6b | Cout=1
Test 143: PASS | A=ff12679 | B=0945aa9 | Cin=0 | SUM=0858122 | Cout=1
Test 144: PASS | A=12d3207 | B=c115356 | Cin=1 | SUM=d3e855e | Cout=0
Test 145: PASS | A=e0020d4 | B=26a0b4c | Cin=1 | SUM=06a2c21 | Cout=1
Test 146: PASS | A=97d21ac | B=f5f7df0 | Cin=1 | SUM=8dc9f9d | Cout=1
Test 147: PASS | A=facedee | B=e4bf9cb | Cin=0 | SUM=df8e7b9 | Cout=1
Test 148: PASS | A=5a4200c | B=690130e | Cin=1 | SUM=c34331b | Cout=0
Test 149: PASS | A=63dfa81 | B=682cd45 | Cin=0 | SUM=cc0c7c6 | Cout=0
Test 150: PASS | A=68fbc84 | B=fee8162 | Cin=1 | SUM=67e3de7 | Cout=1
Test 151: PASS | A=8363ee9 | B=d1e63b3 | Cin=1 | SUM=554a29d | Cout=1
Test 152: PASS | A=cab1422 | B=e786b20 | Cin=0 | SUM=b237f42 | Cout=1
Test 153: PASS | A=2f7a662 | B=dd508fa | Cin=0 | SUM=0ccaf5c | Cout=1
Test 154: PASS | A=322eca7 | B=696ddde | Cin=0 | SUM=9b9ca85 | Cout=0
Test 155: PASS | A=591ae85 | B=ee647a3 | Cin=1 | SUM=477f629 | Cout=1
Test 156: PASS | A=6a4c65b | B=6d82ab9 | Cin=0 | SUM=d7cf114 | Cout=0
Test 157: PASS | A=ce79171 | B=d3ed578 | Cin=0 | SUM=a2666e9 | Cout=1
Test 158: PASS | A=a7b1259 | B=db37065 | Cin=1 | SUM=82e82bf | Cout=1
Test 159: PASS | A=d6fea65 | B=f75cbda | Cin=0 | SUM=ce5b63f | Cout=1
Test 160: PASS | A=1dbb777 | B=fdef958 | Cin=1 | SUM=1bab0d0 | Cout=1
Test 161: PASS | A=9487050 | B=34c91cb | Cin=0 | SUM=c95021b | Cout=0
Test 162: PASS | A=79e486c | B=62fec0f | Cin=1 | SUM=dce347c | Cout=0
Test 163: PASS | A=3f7d6ec | B=93ed7a2 | Cin=0 | SUM=d36ae8e | Cout=0
Test 164: PASS | A=ee18ed9 | B=5a59d5e | Cin=1 | SUM=4872c38 | Cout=1
Test 165: PASS | A=135a8db | B=46b6d7a | Cin=0 | SUM=5a11655 | Cout=0
Test 166: PASS | A=651bd55 | B=478f53c | Cin=0 | SUM=acab291 | Cout=0
Test 167: PASS | A=764ab89 | B=48b5eda | Cin=1 | SUM=bf00a64 | Cout=0
Test 168: PASS | A=7cbdd63 | B=37ad14e | Cin=1 | SUM=b46aeb2 | Cout=0
Test 169: PASS | A=efb69cc | B=ab164da | Cin=0 | SUM=9accea6 | Cout=1
Test 170: PASS | A=3122b1f | B=281c690 | Cin=1 | SUM=593f1b0 | Cout=0
Test 171: PASS | A=d083132 | B=baf9594 | Cin=0 | SUM=8b7c6c6 | Cout=1
Test 172: PASS | A=bdf8ec5 | B=129c273 | Cin=0 | SUM=d095138 | Cout=0
Test 173: PASS | A=5ab33a8 | B=3961a1d | Cin=1 | SUM=9414dc6 | Cout=0
Test 174: PASS | A=b7114a9 | B=f3aecad | Cin=1 | SUM=aac0157 | Cout=1
Test 175: PASS | A=d4d125c | B=91aaa08 | Cin=0 | SUM=667bc64 | Cout=1
Test 176: PASS | A=8b4e25e | B=a7de51a | Cin=0 | SUM=332c778 | Cout=1
Test 177: PASS | A=d7c0c04 | B=1ebcb27 | Cin=1 | SUM=f67d72c | Cout=0
Test 178: PASS | A=2ad3215 | B=08c6fb8 | Cin=0 | SUM=339a1cd | Cout=0
Test 179: PASS | A=c80f458 | B=ccd35be | Cin=1 | SUM=94e2a17 | Cout=1
Test 180: PASS | A=03ca2cd | B=fa3c6c0 | Cin=0 | SUM=fe0698d | Cout=0
Test 181: PASS | A=3544730 | B=463369a | Cin=1 | SUM=7b77dcb | Cout=0
Test 182: PASS | A=4c4b64a | B=2fcdfc2 | Cin=1 | SUM=7c1960d | Cout=0
Test 183: PASS | A=a557e1f | B=16176de | Cin=0 | SUM=bb6f4fd | Cout=0
Test 184: PASS | A=8e27199 | B=c747488 | Cin=1 | SUM=556e622 | Cout=1
Test 185: PASS | A=e55a0bf | B=b32dcea | Cin=0 | SUM=9887da9 | Cout=1
Test 186: PASS | A=8146e3c | B=afc3f17 | Cin=0 | SUM=310ad53 | Cout=1
Test 187: PASS | A=fd1b78a | B=9b6ccff | Cin=0 | SUM=9888489 | Cout=1
Test 188: PASS | A=85b4028 | B=f597f8a | Cin=0 | SUM=7b4bfb2 | Cout=1
Test 189: PASS | A=b9bcc6e | B=98e6a3c | Cin=1 | SUM=52a36ab | Cout=1
Test 190: PASS | A=4101d93 | B=a44c55a | Cin=0 | SUM=e54e2ed | Cout=0
Test 191: PASS | A=93def59 | B=fc4c6b5 | Cin=1 | SUM=902b60f | Cout=1
Test 192: PASS | A=84107cc | B=85547f8 | Cin=0 | SUM=0964fc4 | Cout=1
Test 193: PASS | A=560e5c8 | B=6b3685d | Cin=1 | SUM=c144e26 | Cout=0
Test 194: PASS | A=af81f68 | B=9714ab1 | Cin=0 | SUM=4696a19 | Cout=1
Test 195: PASS | A=10629b0 | B=89b7787 | Cin=1 | SUM=9a1a138 | Cout=0
Test 196: PASS | A=6020521 | B=8facf06 | Cin=0 | SUM=efcd427 | Cout=0
Test 197: PASS | A=7442b6b | B=25cd0d9 | Cin=0 | SUM=9a0fc44 | Cout=0
Test 198: PASS | A=c208022 | B=17125ff | Cin=0 | SUM=d91a621 | Cout=0
Test 199: PASS | A=cd52dc2 | B=d9b03de | Cin=1 | SUM=a7031a1 | Cout=1
Test 200: PASS | A=996c917 | B=0bcff2b | Cin=0 | SUM=a53c842 | Cout=0
Test 201: PASS | A=963756d | B=093c140 | Cin=0 | SUM=9f736ad | Cout=0
Test 202: PASS | A=59cc107 | B=f210e15 | Cin=1 | SUM=4bdcf1d | Cout=1
Test 203: PASS | A=c20b769 | B=6fd2f60 | Cin=0 | SUM=31de6c9 | Cout=1
Test 204: PASS | A=6a35d03 | B=22f3d7e | Cin=0 | SUM=8d29a81 | Cout=0
Test 205: PASS | A=63446fe | B=1356ddb | Cin=1 | SUM=769b4da | Cout=0
Test 206: PASS | A=10ae43e | B=6eeb088 | Cin=1 | SUM=7f994c7 | Cout=0
Test 207: PASS | A=1c65bc5 | B=bf761c6 | Cin=0 | SUM=dbdbd8b | Cout=0
Test 208: PASS | A=b415f13 | B=50ecc68 | Cin=0 | SUM=0502b7b | Cout=1
Test 209: PASS | A=f07d8ff | B=36787ee | Cin=1 | SUM=26f60ee | Cout=1
Test 210: PASS | A=6e2b830 | B=ecc2f9a | Cin=1 | SUM=5aee7cb | Cout=1
Test 211: PASS | A=4f7a79b | B=89aa4c6 | Cin=1 | SUM=d924c62 | Cout=0
Test 212: PASS | A=b637052 | B=e66c22d | Cin=1 | SUM=9ca3280 | Cout=1
Test 213: PASS | A=a7bbb41 | B=c8eb67f | Cin=1 | SUM=70a71c1 | Cout=1
Test 214: PASS | A=467520b | B=f77f0d6 | Cin=1 | SUM=3df42e2 | Cout=1
Test 215: PASS | A=72d401c | B=88e952d | Cin=1 | SUM=fbbd54a | Cout=0
Test 216: PASS | A=3287f12 | B=ff8a288 | Cin=0 | SUM=321219a | Cout=1
Test 217: PASS | A=6253f61 | B=10b4c2e | Cin=0 | SUM=7308b8f | Cout=0
Test 218: PASS | A=d3ec3d7 | B=76b7fbe | Cin=1 | SUM=4aa4396 | Cout=1
Test 219: PASS | A=3a964e5 | B=e85ddc2 | Cin=0 | SUM=22f42a7 | Cout=1
Test 220: PASS | A=6bd7539 | B=7ebdff1 | Cin=1 | SUM=ea9552b | Cout=0
Test 221: PASS | A=d0f31a5 | B=aaea47a | Cin=0 | SUM=7bdd61f | Cout=1
Test 222: PASS | A=2f7d924 | B=4e7f4e4 | Cin=1 | SUM=7dfce09 | Cout=0
Test 223: PASS | A=2bc6f75 | B=11bc21b | Cin=1 | SUM=3d83191 | Cout=0
Test 224: PASS | A=3ffeb32 | B=c4ab76c | Cin=1 | SUM=04aa29f | Cout=1
Test 225: PASS | A=2835d60 | B=50cf3c0 | Cin=0 | SUM=7905120 | Cout=0
Test 226: PASS | A=8c609ee | B=e2ca233 | Cin=1 | SUM=6f2ac22 | Cout=1
Test 227: PASS | A=8c18c5b | B=afe9e4b | Cin=1 | SUM=3c02aa7 | Cout=1
Test 228: PASS | A=91dd64f | B=61c905a | Cin=1 | SUM=f3a66aa | Cout=0
Test 229: PASS | A=7785b40 | B=e8aba05 | Cin=1 | SUM=6031546 | Cout=1
Test 230: PASS | A=d1ef5b9 | B=2b779bb | Cin=0 | SUM=fd66f74 | Cout=0
Test 231: PASS | A=756c76c | B=387a843 | Cin=1 | SUM=ade6fb0 | Cout=0
Test 232: PASS | A=47cafe4 | B=7f001a9 | Cin=1 | SUM=c6cb18e | Cout=0
Test 233: PASS | A=26086cb | B=f49d6a3 | Cin=1 | SUM=1aa5d6f | Cout=1
Test 234: PASS | A=d1474b0 | B=41e73ab | Cin=0 | SUM=132e85b | Cout=1
Test 235: PASS | A=38c2795 | B=9985c7d | Cin=0 | SUM=d248412 | Cout=0
Test 236: PASS | A=ee4e05e | B=55aecb2 | Cin=0 | SUM=43fcd10 | Cout=1
Test 237: PASS | A=fac8edc | B=c9bb2ac | Cin=1 | SUM=c484189 | Cout=1
Test 238: PASS | A=c6dc55f | B=cd6b409 | Cin=1 | SUM=9447969 | Cout=1
Test 239: PASS | A=75de412 | B=2d97b0b | Cin=0 | SUM=a375f1d | Cout=0
Test 240: PASS | A=429815a | B=8a70c67 | Cin=1 | SUM=cd08dc2 | Cout=0
Test 241: PASS | A=1265506 | B=9abdf2e | Cin=1 | SUM=ad23435 | Cout=0
Test 242: PASS | A=6534654 | B=3080ece | Cin=0 | SUM=95b5522 | Cout=0
Test 243: PASS | A=47fe662 | B=a2eb1bc | Cin=1 | SUM=eae981f | Cout=0
Test 244: PASS | A=4a391e0 | B=84eeb1f | Cin=1 | SUM=cf27d00 | Cout=0
Test 245: PASS | A=59526ee | B=c5501d8 | Cin=1 | SUM=1ea28c7 | Cout=1
Test 246: PASS | A=fa8dfd1 | B=5d955d2 | Cin=0 | SUM=58235a3 | Cout=1
Test 247: PASS | A=b089ab1 | B=b2a8999 | Cin=0 | SUM=633244a | Cout=1
Test 248: PASS | A=8e86fcf | B=2a7038c | Cin=0 | SUM=b8f735b | Cout=0
Test 249: PASS | A=bb85e43 | B=36e1a3a | Cin=0 | SUM=f26787d | Cout=0
Test 250: PASS | A=3732733 | B=52961df | Cin=1 | SUM=89c8913 | Cout=0
Test 251: PASS | A=a20f92c | B=9f59c81 | Cin=1 | SUM=41695ae | Cout=1
Test 252: PASS | A=27546e7 | B=3422106 | Cin=0 | SUM=5b767ed | Cout=0
Test 253: PASS | A=05b7fc6 | B=db17c82 | Cin=1 | SUM=e0cfc49 | Cout=0
Test 254: PASS | A=ebf9e6b | B=37679f0 | Cin=0 | SUM=236185b | Cout=1
Test 255: PASS | A=80c2085 | B=0032e40 | Cin=0 | SUM=80f4ec5 | Cout=0
Test 256: PASS | A=bb7eeca | B=30b3bbc | Cin=0 | SUM=ec32a86 | Cout=0
Test 257: PASS | A=1cea343 | B=2d0690d | Cin=0 | SUM=49f0c50 | Cout=0
Test 258: PASS | A=840b0ee | B=7512d58 | Cin=0 | SUM=f91de46 | Cout=0
Test 259: PASS | A=0af5241 | B=1b7771f | Cin=0 | SUM=266c960 | Cout=0
Test 260: PASS | A=119ba72 | B=2b2f475 | Cin=0 | SUM=3ccaee7 | Cout=0
Test 261: PASS | A=50b45f6 | B=253b9df | Cin=0 | SUM=75effd5 | Cout=0
Test 262: PASS | A=2a586c7 | B=046c6c9 | Cin=0 | SUM=2ec4d90 | Cout=0
Test 263: PASS | A=8b86e1b | B=a96df5d | Cin=0 | SUM=34f4d78 | Cout=1
Test 264: PASS | A=51f9c62 | B=8658d9b | Cin=0 | SUM=d8529fd | Cout=0
Test 265: PASS | A=1fd1417 | B=28ecc6e | Cin=1 | SUM=48be086 | Cout=0
Test 266: PASS | A=9a6d350 | B=f2e6c54 | Cin=1 | SUM=8d53fa5 | Cout=1
Test 267: PASS | A=956d33d | B=28765b3 | Cin=0 | SUM=bde38f0 | Cout=0
Test 268: PASS | A=57a8ea7 | B=327004e | Cin=1 | SUM=8a18ef6 | Cout=0
Test 269: PASS | A=a2815cf | B=cfdbd0f | Cin=1 | SUM=725d2df | Cout=1
Test 270: PASS | A=ef143c9 | B=ae0b654 | Cin=1 | SUM=9d1fa1e | Cout=1
Test 271: PASS | A=6052141 | B=f4e19d5 | Cin=1 | SUM=5533b17 | Cout=1
Test 272: PASS | A=3b52550 | B=eb81ff0 | Cin=0 | SUM=26d4540 | Cout=1
Test 273: PASS | A=6680c0f | B=2167706 | Cin=1 | SUM=87e8316 | Cout=0
Test 274: PASS | A=856e4b1 | B=dd4fd97 | Cin=1 | SUM=62be249 | Cout=1
Test 275: PASS | A=face2bb | B=615c5c0 | Cin=0 | SUM=5c2a87b | Cout=1
Test 276: PASS | A=1b8b3eb | B=1279098 | Cin=1 | SUM=2e04484 | Cout=0
Test 277: PASS | A=1678014 | B=8a46a4e | Cin=0 | SUM=a0bea62 | Cout=0
Test 278: PASS | A=710ae24 | B=437f548 | Cin=0 | SUM=b48a36c | Cout=0
Test 279: PASS | A=3798b4e | B=49be91f | Cin=1 | SUM=815746e | Cout=0
Test 280: PASS | A=693414f | B=76eb6ec | Cin=0 | SUM=e01f83b | Cout=0
